the_geom,the_geom_webmercator,objectid,serialnum,description,recycler,lat,lng,
0101000020E6100000222A815342CA52C019723A74AFFB4340,0101000020110F0000E6DC1C88B5EA5FC18557E3471D8B5241,781,174560,Se Broad/Ridge,no,39.96629193,-75.16029823,19123
0101000020E61000000862AB3BDACA52C0180B4EF07CF64340,0101000020110F00002DF9928FB7EB5FC1AB6C93535B855241,782,174561,Nw Broad/Passyunk,no,39.92568783,-75.16956989,19148
0101000020E61000008721E997ABC952C078EB93EC29014440,0101000020110F00001997337FB5E95FC175392EE52F915241,783,174562,Se/Broad/Erie,no,40.00909192,-75.15109823,19140
0101000020E610000040DE833ACFCA52C00E24C029C5F64340,0101000020110F0000F09C5ADEA4EB5FC102959150AB855241,784,174563,Se Broad/Moore,no,39.92789194,-75.16889823,19148
0101000020E6100000648FCE24D4CA52C04DDB2465A4F64340,0101000020110F00008A6BB037ADEB5FC1B3DC220687855241,785,174564,Nw Broad/mifflin,no,39.92689194,-75.16919823,19145
0101000020E6100000FAC3D6BA9DCA52C0A350D1538CF94340,0101000020110F0000D8A03CCA50EB5FC1EBAF6C10BF885241,786,174565,Ne 15th/Walnut,no,39.94959495,-75.16587707,19102
0101000020E6100000BFF96D8807CA52C0E874F2FE0FFE4340,0101000020110F0000C9EC58AA51EA5FC177F535B8BF8D5241,787,174566,Nw Broad/Diamond,no,39.98486316,-75.15670977,19121
0101000020E61000007A0AA8F3CBCA52C09BDECC09F3F64340,0101000020110F000096D1774D9FEB5FC13E1A671FDE855241,788,174567,Nw Broad/Morris,no,39.92929194,-75.16869823,19145
0101000020E6100000192CC69580CE52C0ACAF5198D7F94340,0101000020110F000018A3D4A6EAF15FC1F698B07312895241,789,174570,Sw 52nd/Larchwood,no,39.95189194,-75.22659821,19143
0101000020E6100000C74E76A247CA52C027E4837C77F94340,0101000020110F0000E05F708CBEEA5FC168A4A7F9A7885241,790,174746,12th/Walnut SW,no,39.94895894,-75.16062223,19107
0101000020E610000053BBDB2F89C952C00F5A021C76074440,0101000020110F0000A499D60D7BE95FC1FE0B202E2C985241,791,174747,Se Haines/Ogontz,yes,40.05829191,-75.14899823,19126
